titulo;preco_old;preco_new;link
É fragrante fojado dôtor vossa excelência;R$ 64,90;R$ 58,41;https://leitura.com.br/e-fragrante-fojado-dotor-vossa-excelencia-L999-9786558021148?page=1&limit=96
E vós, quem dizeis que eu sou?;R$ 30,00;R$ 25,27;https://leitura.com.br/e-vos-quem-dizeis-que-eu-sou-L999-9786557139417?page=1&limit=96
Eu tenho um PEQUENO PROBLEMA disse o urso;R$ 69,00;R$ 51,75;https://leitura.com.br/eu-tenho-um-pequeno-problema-disse-o-urso-L999-9788516058272?page=1&limit=96
#atitude que te move;R$ 49,00;R$ 36,93;https://leitura.com.br/atitude-que-te-move-L999-9788557172852?page=1&limit=96
#crush;R$ 59,90;R$ 49,92;https://leitura.com.br/crush-L999-9786556092416?page=1&limit=96
#Cuidado Garotas Apaixonadas 2 - Nanda;R$ 65,00;R$ 53,95;https://leitura.com.br/cuidado-garotas-apaixonadas-2---nanda-L999-9786556121574?page=1&limit=96
#Cuidado  garotas apaixonadas 3 - Gute;R$ 65,00;R$ 53,95;https://leitura.com.br/cuidado-garotas-apaixonadas-3---gute-L999-9786556123264?page=1&limit=96
#Tenho orgulho de ser vendedor;R$ 79,00;R$ 65,57;https://leitura.com.br/tenho-orgulho-de-ser-vendedor-L999-9788582891933?page=1&limit=96
#umdiasemreclamar;R$ 49,90;R$ 37,83;https://leitura.com.br/umdiasemreclamar-L999-9786587885049?page=1&limit=96
#VQD - Vai que dá!;R$ 49,90;R$ 41,42;https://leitura.com.br/vqd---vai-que-da-L999-9788582850008?page=1&limit=96
(In)felicidade para corajosos;R$ 55,90;R$ 41,05;https://leitura.com.br/infelicidade-para-corajosos-L999-9786555355413?page=1&limit=96
(Quem contou?);R$ 69,90;R$ 58,02;https://leitura.com.br/quem-contou-L999-9788574066028?page=1&limit=96
... E o vento levou;R$ 44,90;R$ 37,27;https://leitura.com.br/-e-o-vento-levou-L999-9786555522075?page=1&limit=96
...E a lua sumiu;R$ 59,90;R$ 49,72;https://leitura.com.br/e-a-lua-sumiu-L999-9788574122656?page=1&limit=96
...mas é segredo...;R$ 49,80;R$ 41,33;https://leitura.com.br/mas-e-segredo-L999-9788575263891?page=1&limit=96
1 2 3 com Guido - Capa Almofadada;R$ 54,90;R$ 45,57;https://leitura.com.br/1-2-3-com-guido---capa-almofadada-L999-9786555960969?page=1&limit=96
1 a 10 musical;R$ 49,90;R$ 41,42;https://leitura.com.br/1-a-10-musical-L999-9786526104156?page=1&limit=96
1 ano em 12 semanas;R$ 70,00;R$ 58,33;https://leitura.com.br/1-ano-em-12-semanas-L999-9788550814018?page=1&limit=96
1 bilhão de motivos para você entender e aplicar os 3rs.;R$ 49,90;R$ 41,42;https://leitura.com.br/1-bilhao-de-motivos-para-voce-entender-e-aplicar-os-3rs-L999-9786550471149?page=1&limit=96
1 Coríntios - Comentários Expositivos Hagnos;R$ 76,90;R$ 63,83;https://leitura.com.br/1-corintios---comentarios-expositivos-hagnos-L999-9788577420230?page=1&limit=96
